Protein.Ids	Genes	STEM	ND	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
Q9UN86	G3BP2	31147	32703	0.9524104	1.63E-01
Q00169	PITPNA	25574	26982	0.9478132	1.63E-01
Q9UHB7	AFF4	2588	2364	1.0948365	1.64E-01
Q9P013	CWC15	14402	12222	1.178404	1.64E-01
Q8TD57	DNAH3	1699	2294	0.7403598	1.64E-01
Q96II8	LRCH3	2582	2782	0.9282141	1.64E-01
O75083	WDR1	113412	108509	1.0451905	1.64E-01
Q8IWB1	ITPRIP	713	1021	0.6982986	1.64E-01
O60391	GRIN3B	2277	2677	0.8505828	1.65E-01
P04066	FUCA1	65362	71793	0.9104272	1.65E-01
Q9Y6I4	USP3	921	748	1.2311841	1.65E-01
P04259	KRT6B	7553	10232	0.7381669	1.65E-01
A8MSI8	LYRM9	2529	3183	0.7943341	1.66E-01
P54252	ATXN3	11323	10567	1.0715782	1.66E-01
Q9HC78	ZBTB20	2201	5296	0.4156038	1.66E-01
Q2YD98	UVSSA	1141	1647	0.6927624	1.66E-01
O00287	RFXAP	1640	2046	0.80154	1.66E-01
Q9NQC3	RTN4	212819	198742	1.0708291	1.66E-01
Q7L2E3	DHX30	29413	28023	1.0496067	1.66E-01
O00445	SYT5	21688	24230	0.8951009	1.67E-01
Q53H96	PYCR3	12412	11658	1.0647524	1.67E-01
P35754	GLRX	10458	9842	1.0626482	1.67E-01
P48594	SERPINB4	4047	5734	0.7056885	1.67E-01
Q8IYU2	HACE1	3052	2834	1.0770563	1.67E-01
P61513	RPL37A	35139	32764	1.0724713	1.67E-01
Q8WUX9	CHMP7	6168	5759	1.070987	1.68E-01
Q14108	SCARB2	205438	224115	0.916663	1.68E-01
Q16778	H2BC21	1447580	1329524	1.088796	1.68E-01
Q99569	PKP4	4060	4449	0.9124871	1.68E-01
Q6NUJ5	PWWP2B	1214	1443	0.8410534	1.68E-01
Q8WUQ7	CACTIN	1237	1114	1.1108275	1.68E-01
Q12857	NFIA	2508	3423	0.7325739	1.68E-01
O00584	RNASET2	8423	9263	0.9093066	1.69E-01
Q99567	NUP88	22353	21597	1.0350115	1.69E-01
Q14331	FRG1	7585	6975	1.0874272	1.69E-01
Q96F63	CCDC97	1643	1455	1.1296148	1.69E-01
P29508	SERPINB3	8203	11165	0.7346844	1.70E-01
Q9NXE8	CWC25	3106	2675	1.1612367	1.70E-01
Q96GM8	TOE1	4639	4301	1.0786919	1.70E-01
P31948	STIP1	189739	200653	0.9456057	1.70E-01
P04626	ERBB2	1778	1371	1.2964739	1.71E-01
Q9H7Z6	KAT8	4734	4386	1.0793245	1.71E-01
Q8NFH4	NUP37	7175	6761	1.0611921	1.71E-01
Q9NQZ5	STARD7	5568	5262	1.0580339	1.71E-01
Q9Y216	MTMR7	15455	17155	0.900915	1.71E-01
P56182	RRP1	8983	8402	1.0691487	1.71E-01
Q15797	SMAD1	5372	4895	1.0974517	1.72E-01
Q9Y6M5	SLC30A1	4134	3762	1.0987713	1.72E-01
P0C7M7	ACSM4	7238	10062	0.7193181	1.72E-01
Q13126	MTAP	20515	19360	1.0596725	1.72E-01
P25398	RPS12	167354	180231	0.9285541	1.72E-01
Q8TB45	DEPTOR	5273	4705	1.1207138	1.72E-01
P42025	ACTR1B	127027	119796	1.0603631	1.73E-01
Q12979	ABR	17928	19082	0.9394957	1.73E-01
Q9BXT2	CACNG6	32211	38999	0.8259426	1.73E-01
Q8IWA5	SLC44A2	11385	13024	0.8741562	1.74E-01
Q8IX07	ZFPM1	229	220	1.0415445	1.74E-01
O43716	GATC	2542	2435	1.0439008	1.74E-01
Q15532	SS18	2387	2804	0.8515077	1.74E-01
Q9P206	KIAA1522	4022	3630	1.1080705	1.74E-01
Q4LE39	ARID4B	3586	3464	1.0350609	1.75E-01
Q9NZ52	GGA3	5076	4808	1.0556496	1.75E-01
P48378	RFX2	3302	3702	0.8918517	1.75E-01
Q9NXA8	SIRT5	7578	6749	1.1228321	1.76E-01
O43242	PSMD3	76857	73945	1.039391	1.76E-01
P50591	TNFSF10	2258	2695	0.837753	1.76E-01
O75962	TRIO	5806	6155	0.943358	1.76E-01
Q5SRE5	NUP188	16159	15396	1.0495298	1.77E-01
Q96HH9	GRAMD2B	1150	1305	0.8815931	1.77E-01
P54274	TERF1	1453	1271	1.143526	1.77E-01
Q07157	TJP1	21954	24239	0.9057232	1.77E-01
Q9C0G0	ZNF407	1061	1853	0.5724684	1.78E-01
Q13287	NMI	970	1606	0.6036812	1.78E-01
Q92834	RPGR	2151	1937	1.110435	1.79E-01
P78364	PHC1	334	288	1.1593148	1.79E-01
P07992	ERCC1	28465	11875	2.3970155	1.79E-01
O43426	SYNJ1	12860	11378	1.1302431	1.79E-01
Q9H1E1	RNASE7	2137	3116	0.6856358	1.79E-01
Q9P2F8	SIPA1L2	3254	3633	0.8957393	1.80E-01
Q14643	ITPR1	5583	6081	0.9181633	1.80E-01
P28290	ITPRID2	3734	4133	0.9035543	1.80E-01
Q32NB8	PGS1	6367	6855	0.9287955	1.80E-01
Q8N2H4	SYS1	7482	12300	0.6082739	1.81E-01
P57081	WDR4	3018	3532	0.854543	1.81E-01
P36896	ACVR1B	1587	1390	1.1420712	1.81E-01
Q99848	EBNA1BP2	12073	10782	1.1197763	1.81E-01
Q16537	PPP2R5E	12313	12696	0.9698007	1.82E-01
Q86U28	ISCA2	5732	6223	0.921028	1.82E-01
P32745	SSTR3	594	977	0.6080978	1.82E-01
Q6ZUT6	CCDC9B	2151	1121	1.9191029	1.82E-01
P18850	ATF6	737	891	0.8271428	1.82E-01
Q6UB99	ANKRD11	2061	1320	1.5610357	1.83E-01
O95486	SEC24A	16236	15501	1.047364	1.83E-01
O75179	ANKRD17	20310	19524	1.0402562	1.83E-01
P02743	APCS	3089	3921	0.7876734	1.83E-01
Q9BY89	KIAA1671	5643	5371	1.050775	1.83E-01
Q02790	FKBP4	100464	96899	1.0367923	1.83E-01
Q9UK39	NOCT	1440	1901	0.7577187	1.83E-01
Q9UBV8	PEF1	34764	36715	0.946844	1.83E-01
Q5VTE6	ANGEL2	2822	2401	1.1752792	1.84E-01
P15954	COX7C	8707	10744	0.8104322	1.84E-01
P18065	IGFBP2	17767	13746	1.2925017	1.84E-01
Q96RT8	TUBGCP5	406	493	0.8230158	1.84E-01
Q86VQ6	TXNRD3	3988	4413	0.9037887	1.84E-01
Q53GS7	GLE1	3760	3979	0.9451513	1.84E-01
O75531	BANF1	18823	21709	0.8670321	1.85E-01
Q92766	RREB1	2076	1710	1.2142087	1.85E-01
Q96EA4	SPDL1	2086	1647	1.2668253	1.85E-01
Q8N2C7	UNC80	6342	7160	0.8857519	1.86E-01
Q96IG2	FBXL20	2489	2726	0.9131611	1.86E-01
Q00613	HSF1	5396	5736	0.9406715	1.86E-01
P35858	IGFALS	1617	3465	0.4668233	1.86E-01
O14782	KIF3C	287	256	1.1223983	1.86E-01
Q7KZI7	MARK2	19247	18150	1.0604096	1.87E-01
Q6P2C8	MED27	2172	2002	1.0850332	1.88E-01
Q16512	PKN1	8204	8714	0.9415399	1.88E-01
Q9Y534	CSDC2	160	228	0.7025593	1.88E-01
O75190	DNAJB6	10307	10886	0.946822	1.88E-01
P05981	HPN	2569	2131	1.2057011	1.88E-01
Q96QZ7	MAGI1	6941	7497	0.9258212	1.88E-01
Q9BV23	ABHD6	1466	1361	1.0771987	1.88E-01
Q96JX3	SERAC1	5542	6084	0.9109521	1.89E-01
P05114	HMGN1	14557	12264	1.1870204	1.89E-01
Q15649	ZNHIT3	919	1616	0.5682873	1.90E-01
Q9H7N4	SCAF1	2853	2549	1.1189751	1.90E-01
P08133	ANXA6	359767	385811	0.9324951	1.91E-01
P62857	RPS28	80370	90542	0.8876548	1.91E-01
Q96BI3	APH1A	462	701	0.658974	1.91E-01
P32969	RPL9	152952	160318	0.9540588	1.91E-01
Q969R8	ITFG2	3802	3594	1.0578661	1.91E-01
Q15691	MAPRE1	82982	89373	0.9284847	1.91E-01
Q9H2J4	PDCL3	4727	5104	0.9261018	1.91E-01
P0DPB6	POLR1D	7121	6600	1.0789479	1.92E-01
P03928	MT-ATP8	9913	9200	1.0774776	1.92E-01
Q969I6	SLC38A4	2129	2922	0.7287525	1.92E-01
Q9C0D3	ZYG11B	1528	1333	1.1462282	1.92E-01
Q9UJX3	ANAPC7	5906	6211	0.9509266	1.92E-01
Q96CW1	AP2M1	99675	103543	0.9626408	1.94E-01
Q8WUD6	CHPT1	4335	3965	1.0935171	1.94E-01
Q8NBL1	POGLUT1	24176	22932	1.0542537	1.94E-01
P39210	MPV17	4441	5473	0.8114557	1.94E-01
O43556	SGCE	2716	3014	0.9013019	1.94E-01
Q16595	FXN	7906	6307	1.2533897	1.95E-01
Q14849	STARD3	1866	2206	0.8457183	1.95E-01
Q8IWB7	WDFY1	11468	10820	1.0599377	1.95E-01
Q7Z4H7	HAUS6	3887	3534	1.0998563	1.96E-01
P12236	SLC25A6	451499	487575	0.9260112	1.96E-01
Q7Z6B7	SRGAP1	828	760	1.0891269	1.96E-01
Q6IA17	SIGIRR	4739	5255	0.9017131	1.96E-01
O60237	PPP1R12B	3079	3103	0.9925308	1.97E-01
P35557	GCK	4280	4741	0.9029336	1.97E-01
Q86YM7	HOMER1	2189	1844	1.1869052	1.97E-01
Q2NL82	TSR1	7295	7814	0.9335787	1.98E-01
P62699	YPEL5	3194	3493	0.9143451	1.98E-01
Q9NS93	TM7SF3	4680	6902	0.6780059	1.98E-01
O43739	CYTH3	800	1276	0.6269659	1.98E-01
P50225	SULT1A1	17786	12785	1.3911943	1.99E-01
P01040	CSTA	11211	12481	0.8982482	1.99E-01
Q9P000	COMMD9	8462	8018	1.0553444	1.99E-01
Q9Y5U8	MPC1	44374	40590	1.0932273	1.99E-01
Q9NYU2	UGGT1	61548	64489	0.9544065	2.00E-01
Q9H1P3	OSBPL2	3697	3392	1.0900671	2.00E-01
O76021	RSL1D1	23567	21077	1.1181195	2.00E-01
Q86SR1	GALNT10	2039	2649	0.7697224	2.00E-01
Q03393	PTS	18656	20517	0.9093035	2.00E-01
Q9H777	ELAC1	621	756	0.820903	2.01E-01
Q6ZMG9	CERS6	14073	12980	1.0842651	2.02E-01
Q9HBM6	TAF9B	3207	2839	1.1295671	2.02E-01
Q6IPX3	TCEAL6	555	1042	0.5327749	2.02E-01
Q8TB40	ABHD4	2168	2535	0.8553378	2.02E-01
Q9Y663	HS3ST3A1	4298	4808	0.8938336	2.03E-01
P21266	GSTM3	52061	50087	1.039403	2.03E-01
P00167	CYB5A	73457	84616	0.8681226	2.03E-01
Q3KQU3	MAP7D1	16775	16071	1.0438162	2.04E-01
Q9H583	HEATR1	12091	11436	1.0572644	2.04E-01
Q49A26	GLYR1	22289	21085	1.0570993	2.04E-01
P0CG23	ZNF853	238	419	0.5677691	2.04E-01
Q86XK2	FBXO11	282	264	1.065672	2.04E-01
P38398	BRCA1	1991	3065	0.649641	2.05E-01
O95926	SYF2	2097	2367	0.8858528	2.05E-01
Q13950	RUNX2	7890	9316	0.8469259	2.06E-01
P50281	MMP14	7641	9914	0.7707965	2.06E-01
O75486	SUPT3H	2722	2432	1.1190178	2.06E-01
Q96M96	FGD4	11545	12351	0.9347495	2.06E-01
Q99608	NDN	4269	3647	1.1706574	2.06E-01
O95825	CRYZL1	7019	7368	0.952658	2.07E-01
Q53TN4	CYBRD1	4535	19824	0.2287816	2.07E-01
P40313	CTRL	2380	27913	0.0852669	2.07E-01
Q96AP0	ACD	2645	2949	0.8966409	2.07E-01
Q96P50	ACAP3	594	475	1.2519447	2.07E-01
Q8NCW5	NAXE	72812	76175	0.955854	2.07E-01
P17858	PFKL	43997	46230	0.9517021	2.07E-01
Q8WVQ1	CANT1	9015	9569	0.9420423	2.08E-01
Q9NV06	DCAF13	8478	8017	1.0575242	2.08E-01
Q9UIM3	FKBPL	1936	2425	0.7982693	2.09E-01
P11169	SLC2A3	20633	13698	1.5062558	2.09E-01
P02748	C9	8239	14172	0.581345	2.09E-01
P49326	FMO5	3444	3206	1.0741207	2.10E-01
P28070	PSMB4	102666	108777	0.9438163	2.10E-01
O15020	SPTBN2	13735	15069	0.9114625	2.10E-01
Q6SA08	TSSK4	31345	12925	2.4252075	2.10E-01
Q9UIS9	MBD1	6123	5701	1.0740538	2.10E-01
Q9P287	BCCIP	7947	8453	0.9401265	2.10E-01
P11047	LAMC1	17642	13128	1.3438511	2.10E-01
Q9Y281	CFL2	14835	12202	1.2157749	2.10E-01
P78368	CSNK1G2	3019	2935	1.0287089	2.11E-01
O43572	AKAP10	4267	3959	1.0778466	2.11E-01
P22102	GART	40102	38324	1.0463793	2.11E-01
Q92934	BAD	4614	4276	1.0789547	2.11E-01
Q9UHW5	GPN3	4439	4862	0.9129788	2.11E-01
P27448	MARK3	16568	16072	1.0308586	2.11E-01
P07311	ACYP1	8590	9548	0.8996636	2.11E-01
A6NCE7	MAP1LC3B2	123043	112654	1.0922254	2.11E-01
A5D8V6	VPS37C	5641	6142	0.9185521	2.11E-01
Q99755	PIP5K1A	3090	2674	1.1556285	2.12E-01
Q14147	DHX34	2468	2849	0.8661212	2.12E-01
Q7Z333	SETX	1109	1092	1.0149604	2.13E-01
Q5T2D3	OTUD3	721	1129	0.6381398	2.13E-01
O60284	ST18	1091	1392	0.7838283	2.13E-01
Q9NX00	TMEM160	7913	7395	1.0700307	2.13E-01
P52788	SMS	17594	16200	1.0859906	2.13E-01
O00257	CBX4	1532	1802	0.8501384	2.13E-01
Q9NWS9	ZNF446	3099	2720	1.1391845	2.13E-01
A6NKW6	SHISAL2B	1169	3605	0.324202	2.13E-01
Q9BU61	NDUFAF3	12860	13822	0.9304003	2.13E-01
P35611	ADD1	30732	26463	1.1613085	2.14E-01
Q9Y2P4	SLC27A6	6653	3709	1.7936428	2.14E-01
P48643	CCT5	89639	86751	1.0332898	2.16E-01
P11586	MTHFD1	56244	50985	1.1031542	2.16E-01
Q92823	NRCAM	12101	11037	1.0963413	2.16E-01
Q8N9I9	DTX3	11691	12995	0.899677	2.16E-01
P09958	FURIN	5704	6202	0.9197318	2.17E-01
P02511	CRYAB	31039	14785	2.0993425	2.17E-01
Q9Y6A1	POMT1	4413	4120	1.0711502	2.17E-01
Q9Y5J7	TIMM9	4145	4816	0.8606448	2.17E-01
Q9Y576	ASB1	3188	3707	0.8599369	2.17E-01
Q92917	GPKOW	6854	6490	1.0560791	2.17E-01
Q6MZP7	LIN54	1082	906	1.1944205	2.17E-01
Q8N3R3	TCAIM	397	933	0.4260039	2.18E-01
Q9UKI2	CDC42EP3	547	640	0.8542483	2.18E-01
P19338	NCL	360446	334017	1.0791253	2.18E-01
Q9Y426	C2CD2	641	918	0.698662	2.18E-01
Q6AI12	ANKRD40	429	542	0.791313	2.18E-01
P51970	NDUFA8	6859	7367	0.9310483	2.18E-01
Q96P11	NSUN5	5309	5029	1.0557312	2.18E-01
Q13445	TMED1	34734	37291	0.9314334	2.18E-01
Q9NX70	MED29	478	395	1.2090184	2.18E-01
P16157	ANK1	1421	1241	1.1448383	2.18E-01
Q9NVI1	FANCI	3859	6120	0.6305789	2.18E-01
Q9UHD9	UBQLN2	13795	15017	0.9186497	2.19E-01
Q9NSY2	STARD5	2016	1629	1.2376593	2.19E-01
Q9C0F1	CEP44	5280	5996	0.8805436	2.19E-01
Q9NRG0	CHRAC1	4154	3647	1.138988	2.19E-01
Q9P289	STK26	10349	9447	1.0954994	2.19E-01
Q6STE5	SMARCD3	2828	1940	1.4574406	2.19E-01
Q2TB10	ZNF800	12699	14318	0.886876	2.20E-01
Q6UWZ7	ABRAXAS1	387	487	0.7944842	2.20E-01
Q96K19	RNF170	3806	4155	0.9160947	2.20E-01
P49643	PRIM2	769	579	1.3298238	2.20E-01
P16403	H1-2	92387	60954	1.5156784	2.20E-01
Q9BQK8	LPIN3	3248	4092	0.7937631	2.20E-01
P36578	RPL4	212552	232447	0.9144131	2.21E-01
Q5JS54	PSMG4	1272	1246	1.0204785	2.22E-01
P05162	LGALS2	4224	4708	0.8971124	2.22E-01
Q9H4B6	SAV1	225	478	0.4707558	2.22E-01
Q14CN4	KRT72	2894	5136	0.56347	2.22E-01
P39019	RPS19	170248	183066	0.9299829	2.22E-01
Q92692	NECTIN2	13811	12879	1.0724127	2.23E-01
A8K2U0	A2ML1	1858	2410	0.7709196	2.23E-01
Q8N653	LZTR1	1076	1011	1.0645251	2.23E-01
Q9HB40	SCPEP1	13476	11044	1.2201155	2.24E-01
O14810	CPLX1	1066	1312	0.8126332	2.24E-01
Q9UK55	SERPINA10	2751	2316	1.1878625	2.25E-01
Q9P021	CRIPT	5618	5120	1.0973644	2.25E-01
P05109	S100A8	10133	13504	0.750403	2.25E-01
Q8WXD9	CASKIN1	989	870	1.1357057	2.25E-01
Q9GZU7	CTDSP1	2813	3143	0.8951428	2.25E-01
Q9Y530	OARD1	16054	14237	1.1276326	2.26E-01
Q86W92	PPFIBP1	3063	2812	1.0894714	2.26E-01
P04271	S100B	4225	1384	3.0523062	2.26E-01
Q9H299	SH3BGRL3	52609	59916	0.8780509	2.26E-01
Q76L83	ASXL2	1031	918	1.1233078	2.27E-01
Q9Y2L9	LRCH1	6051	6447	0.9385317	2.28E-01
Q06547	GABPB1	6316	5549	1.1381801	2.28E-01
Q8TBE7	SLC35G2	1906	2143	0.8893747	2.28E-01
Q99538	LGMN	3968	3369	1.1778159	2.28E-01
Q9NX08	COMMD8	3929	4303	0.912974	2.28E-01
Q8WXF7	ATL1	14946	14163	1.0552674	2.28E-01
Q9HCE0	EPG5	1390	1753	0.7924718	2.28E-01
Q9Y224	RTRAF	56751	53970	1.0515205	2.28E-01
Q13017	ARHGAP5	6026	6283	0.9590189	2.29E-01
Q9UMR2	DDX19B	3088	3353	0.920809	2.29E-01
Q9NVX7	KBTBD4	2596	2247	1.1552451	2.29E-01
Q9H6A9	PCNX3	598	719	0.8320584	2.29E-01
Q14974	KPNB1	205368	212606	0.9659549	2.29E-01
Q9H501	ESF1	1680	1873	0.8969257	2.29E-01
Q15819	UBE2V2	106254	101259	1.0493243	2.29E-01
Q9Y3E0	GOLT1B	14935	14391	1.0378357	2.29E-01
Q9P1F3	ABRACL	4744	3832	1.2381231	2.29E-01
Q8N668	COMMD1	4667	5012	0.9312063	2.30E-01
Q9BXP2	SLC12A9	7507	7989	0.9396582	2.30E-01
Q8IZN3	ZDHHC14	4109	4724	0.8698829	2.31E-01
P14923	JUP	37977	36007	1.0547166	2.31E-01
Q9BU79	TMEM243	854	3103	0.2752787	2.31E-01
Q9UII2	ATP5IF1	24829	28610	0.8678431	2.31E-01
Q92572	AP3S1	11208	11872	0.9440921	2.31E-01
Q8IYT2	CMTR2	4155	4695	0.8849763	2.31E-01
P00480	OTC	4535	7711	0.5881043	2.31E-01
Q9UMY1	NOL7	7478	7941	0.9416112	2.31E-01
Q9BWN1	PRR14	1422	1683	0.8447365	2.32E-01
P29622	SERPINA4	1561	3182	0.4905795	2.32E-01
O95391	SLU7	1608	1795	0.8959799	2.32E-01
P50570	DNM2	34456	33836	1.0183274	2.33E-01
Q6P4R8	NFRKB	2188	2044	1.0704662	2.34E-01
P20933	AGA	42832	46309	0.9249059	2.34E-01
Q9BVH7	ST6GALNAC5	814	354	2.2976053	2.34E-01
Q9P2P1	NYNRIN	413	430	0.9609677	2.34E-01
Q9Y5S2	CDC42BPB	23068	24048	0.9592693	2.36E-01
Q14CX7	NAA25	16878	17614	0.9582552	2.36E-01
O00512	BCL9	2524	2322	1.0871026	2.37E-01
Q00978	IRF9	1335	1257	1.0620632	2.37E-01
P09486	SPARC	4970	7577	0.6559048	2.37E-01
Q9Y2D0	CA5B	1010	1902	0.53106	2.38E-01
O75204	TMEM127	6526	4715	1.3841544	2.38E-01
Q86VP1	TAX1BP1	5844	6193	0.9437863	2.38E-01
Q9Y2B0	CNPY2	102962	110398	0.9326408	2.38E-01
Q15723	ELF2	830	737	1.1254943	2.39E-01
Q7Z5K2	WAPL	8035	7587	1.0589947	2.39E-01
P02794	FTH1	166495	138719	1.2002311	2.39E-01
Q15388	TOMM20	5198	4904	1.0598259	2.39E-01
Q8N5A5	ZGPAT	3644	3884	0.9380544	2.39E-01
Q8NEZ4	KMT2C	5666	6013	0.9422423	2.40E-01
Q93062	RBPMS	4091	3246	1.2602857	2.40E-01
Q5JPI9	EEF1AKMT2	1844	1700	1.0844711	2.40E-01
O60783	MRPS14	12172	12882	0.944858	2.40E-01
Q13488	TCIRG1	4659	4394	1.0603819	2.40E-01
Q96Q83	ALKBH3	2188	2469	0.8862798	2.41E-01
Q8TF71	SLC16A10	3345	4570	0.731974	2.41E-01
Q9HD47	RANGRF	1613	1525	1.0582312	2.42E-01
P53671	LIMK2	3966	4390	0.9035475	2.42E-01
Q9BX95	SGPP1	3880	4220	0.9192812	2.42E-01
O95427	PIGN	1286	1969	0.6534148	2.42E-01
Q9Y261	FOXA2	838	1264	0.6626125	2.43E-01
Q6ZVK8	NUDT18	5879	6406	0.9176987	2.43E-01
Q9NZH0	GPRC5B	2189	2864	0.7642229	2.43E-01
P15428	HPGD	3679	4324	0.8508357	2.43E-01
Q96B23	C18orf25	1120	1416	0.7909937	2.44E-01
Q96K62	ZBTB45	1207	2030	0.5945118	2.44E-01
Q92817	EVPL	10257	6102	1.6809856	2.45E-01
P07108	DBI	73094	65994	1.1075861	2.45E-01
Q8TF46	DIS3L	2445	2219	1.1017641	2.45E-01
Q9H0F6	SHARPIN	4712	4952	0.9515281	2.46E-01
Q5JPI3	C3orf38	1823	1680	1.0848526	2.46E-01
P47985	UQCRFS1	150349	159793	0.9408998	2.46E-01
Q9BQF6	SENP7	1973	1768	1.1160025	2.46E-01
O15514	POLR2D	607	828	0.7334844	2.47E-01
Q9UQ13	SHOC2	9405	8782	1.0710069	2.47E-01
Q6GMR7	FAAH2	421	569	0.7405552	2.47E-01
O00507	USP9Y	3318	3573	0.9287171	2.47E-01
Q9HCR9	PDE11A	662	793	0.8357529	2.47E-01
Q9UNQ2	DIMT1	4404	4689	0.9391661	2.47E-01
P51606	RENBP	2031	1685	1.2056845	2.48E-01
Q9BSC4	NOL10	2042	2197	0.9295698	2.48E-01
Q14696	MESD	48136	50709	0.9492605	2.48E-01
Q13952	NFYC	15403	14252	1.0807708	2.50E-01
O75298	RTN2	2008	1302	1.5417748	2.50E-01
Q8N0U8	VKORC1L1	9083	7863	1.1551325	2.50E-01
Q9H875	PRKRIP1	1978	1943	1.0182318	2.50E-01
Q9UHK6	AMACR	28243	26117	1.0813752	2.51E-01
Q8TDD1	DDX54	6301	5844	1.0782918	2.51E-01
P19075	TSPAN8	6885	17885	0.3849529	2.52E-01
Q8NHQ9	DDX55	871	828	1.05177	2.52E-01
Q9H0N5	PCBD2	10907	12383	0.8808647	2.52E-01
Q9Y6P5	SESN1	3113	3641	0.8548632	2.53E-01
Q7Z5Q1	CPEB2	1569	1876	0.836441	2.53E-01
Q96QG7	MTMR9	24738	26224	0.9433236	2.53E-01
P50607	TUB	3713	2376	1.5629646	2.53E-01
Q12797	ASPH	18584	19838	0.9367766	2.53E-01
Q9H2G9	BLZF1	1217	1789	0.6805505	2.54E-01
Q9UHA4	LAMTOR3	34107	31142	1.0952065	2.54E-01
Q8WUI4	HDAC7	18621	6222	2.993011	2.55E-01
P51784	USP11	13177	13855	0.9510692	2.55E-01
Q96DN5	TBC1D31	445	633	0.7039926	2.55E-01
Q9UMN6	KMT2B	1263	1236	1.0214643	2.56E-01
Q9BSI4	TINF2	1568	1797	0.8726366	2.56E-01
Q9Y2R4	DDX52	5494	5067	1.0842526	2.56E-01
Q7L804	RAB11FIP2	3472	3013	1.1523313	2.56E-01
P28906	CD34	4110	3295	1.2473093	2.56E-01
Q9P2C4	TMEM181	5213	5659	0.9210718	2.56E-01
Q13614	MTMR2	8372	7715	1.0851726	2.57E-01
Q6NUN0	ACSM5	2402	3430	0.7002507	2.57E-01
O14775	GNB5	237	158	1.4986308	2.57E-01
P60842	EIF4A1	254572	248626	1.0239156	2.58E-01
Q9NP81	SARS2	16929	18052	0.9377756	2.58E-01
O75157	TSC22D2	2081	1839	1.1314222	2.58E-01
Q9Y3T6	R3HCC1	7156	6457	1.1082436	2.58E-01
O75167	PHACTR2	2619	2822	0.9282997	2.58E-01
P48436	SOX9	3826	2917	1.3116842	2.59E-01
Q13813	SPTAN1	99662	105272	0.9467102	2.59E-01
Q8IYU8	MICU2	1943	2074	0.936796	2.59E-01
Q7Z794	KRT77	11951	12124	0.9857581	2.59E-01
Q9NP73	ALG13	9954	10552	0.9433496	2.59E-01
P56192	MARS1	60394	58107	1.0393577	2.61E-01
Q2VPK5	CTU2	2950	2847	1.0360027	2.61E-01
O94910	ADGRL1	1718	1955	0.8785471	2.61E-01
Q14919	DRAP1	9602	10247	0.9370998	2.62E-01
Q14498	RBM39	69225	66363	1.043113	2.62E-01
O95166	GABARAP	10300	11043	0.9327615	2.62E-01
Q96SW2	CRBN	3897	3640	1.070702	2.63E-01
Q9BXR0	QTRT1	15233	14550	1.046918	2.63E-01
Q969G6	RFK	8921	9436	0.9453896	2.63E-01
Q9NYB0	TERF2IP	11233	11851	0.9478844	2.64E-01
Q9Y6G9	DYNC1LI1	35020	36042	0.9716267	2.64E-01
Q7Z2T5	TRMT1L	6922	6496	1.065642	2.64E-01
Q9NZB8	MOCS1	1502	1762	0.8519298	2.64E-01
Q86WA9	SLC26A11	6478	5742	1.128161	2.64E-01
Q8NBI5	SLC43A3	251	247	1.0185171	2.64E-01
Q92539	LPIN2	1950	2361	0.8257462	2.65E-01
P60468	SEC61B	112540	124910	0.9009671	2.65E-01
O94966	USP19	7691	7322	1.0503296	2.65E-01
Q9H981	ACTR8	3021	2874	1.051199	2.65E-01
P55347	PKNOX1	170543	115845	1.4721667	2.65E-01
P07741	APRT	71071	74572	0.9530512	2.65E-01
Q3T8J9	GON4L	797	798	0.999157	2.65E-01
Q8N5X7	EIF4E3	1520	1703	0.8920356	2.65E-01
P36969	GPX4	27971	29453	0.9496902	2.65E-01
P58340	MLF1.00	741	877	0.8446891	2.66E-01
Q9NP97	DYNLRB1	59400	53306	1.1143145	2.67E-01
O14867	BACH1	404	505	0.7993212	2.68E-01
Q6E0U4	DMKN	757	4238	0.1785438	2.68E-01
Q9HDC5	JPH1	918	1294	0.7095679	2.68E-01
Q9BR76	CORO1B	89638	83059	1.0792018	2.68E-01
P30405	PPIF	22811	24766	0.9210653	2.68E-01
P07205	PGK2.00	3939	3119	1.2626607	2.70E-01
Q9Y2R5	MRPS17	13197	14544	0.9073867	2.69E-01
Q9BST9	RTKN	1379	1613	0.8549163	2.70E-01
P0DOY2	IGLC2	5571	4679	1.1905698	2.70E-01
Q08AF3	SLFN5	3524	5576	0.6320352	2.71E-01
Q86UL8	MAGI2	3631	3973	0.9139989	2.71E-01
P29966	MARCKS	41633	37184	1.1196346	2.72E-01
O75943	RAD17	2393	2658	0.9004416	2.71E-01
Q9NU19	TBC1D22B	3114	3346	0.9305283	2.72E-01
Q53HC5	KLHL26	586	228	2.5701452	2.72E-01
Q9GZN1	ACTR6	1574	1480	1.0635241	2.72E-01
P35658	NUP214	20118	20883	0.9634027	2.72E-01
Q9BVG4	PBDC1	34067	32232	1.0569545	2.72E-01
P61586	RHOA	218702	210952	1.0367379	2.72E-01
Q15742	NAB2	2421	1906	1.2704527	2.73E-01
Q8N806	UBR7	8474	7695	1.1012079	2.73E-01
Q8NDH6	ICA1L	3968	3730	1.0636418	2.74E-01
Q9P2D0	IBTK	2149	2371	0.9065392	2.74E-01
O60447	EVI5	259695	201993	1.2856615	2.74E-01
Q9H7E9	C8orf33	6579	7166	0.9180445	2.74E-01
