uniprot	genesymbol	consensus_score	generic_categories	all_categories	receptor_uniprot	receptor_symbol	receptor_references
O15240	VGF	3	ligand	intracellular, ligand, secreted	P04629	NTRK1	NTRK1 [NA]
Q8IZI9	IFNL3	15	ligand	extracellular, ligand, secreted	Q08334, Q8IU57	IFNL3_IFNLR1_IL10RB, IFNLR1, IFNLR1_IL10RB, IL10RB	IL10RB [CellTalkDB:12974481;Cellinker:12469119;Cellinker:12974481;HPRD:12469119;LRdb:12;LRdb:12974481;SIGNOR:12469119;SignaLink3:12469119;SignaLink3:17208301;SignaLink3:23331499;connectomeDB2020:12469119;connectomeDB2020:12974481], IFNLR1 [CellTalkDB:12974481;LRdb:12974481;SIGNOR:12469119;SignaLink3:17208301;SignaLink3:23331499;connectomeDB2020:12974481]
B1AKI9	ISM1	1	ligand	ligand, secreted	NA	NA	NA
Q96BQ1	FAM3D	2	ligand	ligand, secreted, transmembrane, transmembrane_predicted	P21462, P25090	FPR1, FPR2	FPR1 [connectomeDB2020:29853563], FPR2 [connectomeDB2020:29853563]
O00626	CCL22	19	ligand	intracellular, ligand, secreted	O00590, P27487, P32248, P51679, Q16570	ACKR1, ACKR2, CCR4, CCR7, DPP4	CCR4 [Baccin2019:9430724;Baccin2019:9743322;Baccin2019:9933589;CellPhoneDB:24218476;Cellinker:29637711;DIP:9430724;Guide2Pharma:9430724;HPRD:9430724;HPRD:9743322;HPRD:9933589;ICELLNET:22633458;InnateDB:9430724;LRdb:10699158;connectomeDB2020:9430724;connectomeDB2020:9743322;connectomeDB2020:9933589;scConnect:9430724], ACKR2 [CellChatDB:26740381;CellTalkDB:10699158;Cellinker:26740381;Cellinker:29637711;ICELLNET:22633458;LRdb:10699158;connectomeDB2020:25297873], DPP4 [CellPhoneDB:24218476;CellTalkDB:24218476;Cellinker:21314817;HPRD:11390394;HPRD:9933589;InnateDB:9933589], ACKR1 [Baccin2019:24013383], CCR7 [InnateDB:15546958]
Q9UKJ1	PILRA	1	adhesion, ligand, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	O43699, O75019, O75023, P78410, Q8N423, Q8N6C8, Q9HCN6	BTN3A2, GP6, LILRA1, LILRA3, LILRB2, LILRB5, SIGLEC6	SIGLEC6 [Cellinker:32822567], LILRA1 [Cellinker:32822567], LILRB5 [Cellinker:32822567], LILRA3 [Cellinker:32822567], GP6 [Cellinker:32822567], BTN3A2 [Cellinker:32822567], LILRB2 [Cellinker:32822567]
Q16568	CARTPT	1	ligand	extracellular, intracellular, ligand, secreted	NA	NA	NA
P26447	S100A4	3	ligand	extracellular, intracellular, ligand, secreted	O75594, P00533, P04626, P04637, P21860, P51681, Q00987	CCR5, EGFR, ERBB2, ERBB3, MDM2, PGLYRP1, TP53	PGLYRP1 [NA], ERBB2 [CellTalkDB:30083275], EGFR [CellTalkDB:30083275;Cellinker:30083275;IntAct:24658140;IntAct:30083275;IntAct:31980649;Lit-BM-17:24658140;Lit-BM-17:25402006], CCR5 [CellTalkDB:30713770], ERBB3 [Cellinker:30083275], TP53 [BioGRID:11527429;HPRD:11278647;HPRD:11527429;HPRD:12942774;HPRD:15116098;IntAct:19740107;IntAct:20591429;IntAct:23752197;IntAct:31837246;Lit-BM-17:11527429;Lit-BM-17:19740107;Lit-BM-17:20070253;Lit-BM-17:20591429;Lit-BM-17:23752197], MDM2 [IntAct:20591429;Lit-BM-17:20591429]
P24844	MYL9	1	ligand	intracellular, ligand, secreted	Q07108	CD69	CD69 [connectomeDB2020:28783682]
Q2TV78	MST1L	1	ligand	ligand, secreted	NA	NA	NA
P50591	TNFSF10	18	cell_surface_ligand, ligand	cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane, secreted, transmembrane, transmembrane_predicted	O00220, O00300, O14763, O14798, P51684, Q13546, Q14790, Q9UBN6	CASP8, CCR6, RIPK1, TNFRSF10A, TNFRSF10B, TNFRSF10C, TNFRSF10D, TNFRSF11B	TNFRSF10C [CellTalkDB:9314565;Cellinker:9314565;Cellinker:9325248;Cellinker:9613612;HPMR:9325248;HPRD:9314565;HPRD:9325248;HPRD:9613612;ICELLNET:11239407;LRdb:9314565;LRdb:9325248;LRdb:9613612;Lit-BM-17:20103630;Lit-BM-17:9325248;SPIKE:9082980;SPIKE:9314565;connectomeDB2020:9314565;connectomeDB2020:9325248;connectomeDB2020:9613612], TNFRSF10D [CellTalkDB:9242610;Cellinker:9242610;Cellinker:9430226;DIP:9382840;HPMR:9242610;HPRD:9430226;ICELLNET:11239407;LRdb:9242610;LRdb:943;Lit-BM-17:20103630;Lit-BM-17:9382840;Lit-BM-17:9430226;SPIKE:9430226;connectomeDB2020:9242610;connectomeDB2020:9430226], TNFRSF10B [BioGRID:11094155;BioGRID:9311998;CellTalkDB:10549288;Cellinker:10549288;Cellinker:15766588;Cellinker:9311998;Cellinker:9325248;HPMR:15766588;HPRD:10549288;HPRD:9311998;HPRD:9325248;ICELLNET:11239407;InnateDB:10894161;InnateDB:16227629;IntAct:10542098;IntAct:10549288;IntAct:20103630;LRdb:10549288;LRdb:15766588;LRdb:9311998;LRdb:9325248;Lit-BM-17:10542098;Lit-BM-17:10549288;Lit-BM-17:10894160;Lit-BM-17:11094155;Lit-BM-17:19427028;Lit-BM-17:20097879;Lit-BM-17:20103630;Lit-BM-17:21459798;Lit-BM-17:21525171;Lit-BM-17:21822306;Lit-BM-17:22266862;Lit-BM-17:22585859;Lit-BM-17:23678861;Lit-BM-17:9311998;Lit-BM-17:9325248;Macrophage:10549288;Macrophage:12628743;Macrophage:9242610;Macrophage:9311998;SIGNOR:14585074;SIGNOR:15766588;SPIKE:15538968;connectomeDB2020:10549288;connectomeDB2020:15766588;connectomeDB2020:9311998;connectomeDB2020:9325248], TNFRSF10A [Baccin2019:10549288;Baccin2019:15766588;Baccin2019:9082980;Baccin2019:9242610;Baccin2019:9311998;Baccin2019:9314565;Baccin2019:9325248;Baccin2019:9430226;Baccin2019:9613612;CellTalkDB:15766588;Cellinker:10549288;Cellinker:15766588;Cellinker:9082980;Cellinker:9325248;HPMR:15766588;HPRD:10549288;HPRD:9082980;HPRD:9325248;ICELLNET:11239407;InnateDB:10894161;IntAct:20103630;LRdb:10549288;LRdb:15766588;LRdb:9082980;LRdb:9325248;Lit-BM-17:10894160;Lit-BM-17:19427028;Lit-BM-17:20103630;Lit-BM-17:9082980;Macrophage:10549288;Macrophage:12628743;Macrophage:9082980;SIGNOR:14585074;SPIKE:15538968;connectomeDB2020:10549288;connectomeDB2020:15766588;connectomeDB2020:9082980;connectomeDB2020:9325248], TNFRSF11B [Baccin2019:12221720;Baccin2019:9520411;CellTalkDB:9520411;Cellinker:12221720;Cellinker:9520411;HPRD:12221720;HPRD:9520411;ICELLNET:11239407;LRdb:122;LRdb:9520411;connectomeDB2020:12221720;connectomeDB2020:9520411], RIPK1 [CellTalkDB:32103204], CCR6 [Cellinker:16230375], CASP8 [InnateDB:10894161;IntAct:23678861;ProtMapper:27821809]
P21754	ZP3	9	ecm, ligand, receptor	cell_surface, ecm, extracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	P00533, P36544, Q12866	CHRNA7, EGFR, MERTK	EGFR [CellTalkDB:22577141;connectomeDB2020:22577141], CHRNA7 [connectomeDB2020:22577141], MERTK [Baccin2019:7541556;Cellinker:7541556;LRdb:7541556;connectomeDB2020:7541556]
Q641Q3	METRNL	2	ligand	extracellular, ligand, secreted	NA	NA	NA
P10997	IAPP	14	ligand	extracellular, intracellular, ligand, secreted	O60894, O60895, O60896, P07550, P13945, P16473, P30988, P32241, P41586, Q03431, Q16602, Q99678, Q9NQS5	ADCYAP1R1, ADRB2, ADRB3, CALCR, CALCRL, GPR20, GPR84, PTH1R, RAMP1, RAMP2, RAMP3, TSHR, VIPR1	CALCR [Baccin2019:10342886;Baccin2019:12529937;Baccin2019:9487987;CellTalkDB:10342886;Cellinker:10342886;Cellinker:12529937;Cellinker:9487987;Guide2Pharma:10342886;Guide2Pharma:24169554;Guide2Pharma:9487987;LRdb:10342886;LRdb:12529937;LRdb:9487987;connectomeDB2020:10342886;connectomeDB2020:12529937;connectomeDB2020:9487987;scConnect:10342886;scConnect:24169554;scConnect:9487987], RAMP1 [Baccin2019:10385705;CellTalkDB:10385705;Cellinker:10385705;Guide2Pharma:24169554;HPRD:10385705;LRdb:10385705;connectomeDB2020:10385705], RAMP2 [Baccin2019:16531504;CellTalkDB:16531504;Cellinker:16531504;Guide2Pharma:24169554;HPRD:16531504;LRdb:16531504;connectomeDB2020:16531504], RAMP3 [CellTalkDB:25409149;Guide2Pharma:24169554], PTH1R [CellTalkDB:32196115], ADCYAP1R1 [CellTalkDB:32196115], VIPR1 [CellTalkDB:32196115], GPR20 [CellTalkDB:32196115], ADRB2 [CellTalkDB:32196115], ADRB3 [CellTalkDB:32196115], TSHR [CellTalkDB:32196115], GPR84 [CellTalkDB:32196115], CALCRL [NA]
B7Z6F4	NA	1	ligand	ligand, secreted	NA	NA	NA
P12111	COL6A3	4	ecm, ligand	ecm, extracellular, intracellular, ligand, secreted	P05556, P16070, P17301, P18827, P31431, P56199, Q9HCN6	CD44, GP6, ITGA1, ITGA1_ITGB1, ITGA10_ITGB1, ITGA11_ITGB1, ITGA2, ITGA2_ITGB1, ITGA3_ITGB1, ITGA9_ITGB1, ITGAV_ITGB8, ITGB1, SDC1, SDC4	ITGB1 [CellTalkDB:32196115], ITGA2 [CellTalkDB:32196115], ITGA1 [CellTalkDB:32196115], CD44 [NA], SDC1 [NA], SDC4 [NA], GP6 [NA]
P16619	CCL3L1	15	ligand	intracellular, ligand, secreted	O00590, P32246, P51677, P51679, P51681	ACKR2, CCR1, CCR3, CCR4, CCR5	CCR5 [Baccin2019:10364178;Baccin2019:10477718;Baccin2019:11170631;Baccin2019:11700073;Baccin2019:11734558;Baccin2019:12964882;Baccin2019:16298345;Baccin2019:9790730;BioGRID:11734558;CellTalkDB:10364178;Cellinker:10364178;Cellinker:11449371;Cellinker:11734558;HPRD:10364178;HPRD:11449371;HPRD:11734558;ICELLNET:22633458;LRdb:11;LRdb:11734558;SPIKE:11734558;connectomeDB2020:10364178;connectomeDB2020:11449371;connectomeDB2020:11734558], ACKR2 [CellChatDB:26740381;CellTalkDB:10364178;Cellinker:26740381;Cellinker:29637711;HPRD:10364178;ICELLNET:22633458;LRdb:10699158;connectomeDB2020:10364178;connectomeDB2020:25297873], CCR1 [Baccin2019:10202040;Baccin2019:10660125;Baccin2019:11170631;Baccin2019:12381680;Baccin2019:7545673;Baccin2019:8530354;Baccin2019:9115216;Baccin2019:9624164;CellPhoneDB:24218476;Cellinker:11449371;HPRD:11449371;ICELLNET:22633458;LRdb:11449371;connectomeDB2020:11449371], CCR3 [Baccin2019:7594543;CellPhoneDB:24218476;Cellinker:11449371;HPRD:11449371;ICELLNET:22633458;LRdb:11449371;connectomeDB2020:11449371], CCR4 [Baccin2019:8573157]
Q92954	PRG4	2	ecm, ligand	ecm, extracellular, ligand, secreted	O00206, O60603, P16070	CD44, TLR2, TLR4	CD44 [CellTalkDB:30157934], TLR2 [connectomeDB2020:26643105], TLR4 [connectomeDB2020:26643105]
Q9NTU7	CBLN4	1	ligand	ligand, secreted	NA	NA	NA
Q6UW32	IGFL1	8	ligand	ligand, secreted	Q9H665	IGFLR1	IGFLR1 [CellTalkDB:21454693;IntAct:21454693;LRdb:21454693;Ramilowski2015:21454693;connectomeDB2020:21454693;talklr:21454693]
P01303	NPY	15	ligand	extracellular, intracellular, ligand, secreted, transmembrane	P07550, P08588, P08913, P25929, P27487, P32245, P48039, P49146, P49683, P50391, Q12884, Q14831, Q15761, Q99463, Q9NYM4, Q9Y5X5	ADRA2A, ADRB1, ADRB2, DPP4, FAP, GPR83, GRM7, MC4R, MTNR1A, NPFFR2, NPY1R, NPY2R, NPY4R, NPY5R, NPY6R, PRLHR	PRLHR [Baccin2019:15885496;CellTalkDB:15885496;Cellinker:15885496;Guide2Pharma:15885496;LRdb:15885496;connectomeDB2020:15885496;scConnect:15885496], NPY1R [Baccin2019:12007534;Baccin2019:7559383;Baccin2019:9001438;Baccin2019:9549761;CellTalkDB:9001438;Cellinker:12007534;Cellinker:7559383;Cellinker:9001438;Cellinker:9549761;HPMR:9549761;HPRD:12007534;HPRD:7559383;HPRD:9001438;LRdb:12007534;LRdb:7559383;LRdb:9001438;LRdb:9549761;Lit-BM-17:23597562;Lit-BM-17:7559383;SIGNOR:9549761;connectomeDB2020:12007534;connectomeDB2020:7559383;connectomeDB2020:9001438;connectomeDB2020:9549761], NPY2R [Baccin2019:12007534;Baccin2019:7559383;Baccin2019:7592910;Baccin2019:8632753;Baccin2019:9001438;Baccin2019:9549761;CellTalkDB:9001438;Cellinker:12007534;Cellinker:7559383;Cellinker:7592910;Cellinker:8632753;Cellinker:9001438;Cellinker:9549761;Guide2Pharma:7592910;Guide2Pharma:8632753;HPMR:9549761;HPRD:12007534;HPRD:7559383;HPRD:9001438;LRdb:12007534;LRdb:7559383;LRdb:7592910;LRdb:8632753;LRdb:9001438;LRdb:9549761;SIGNOR:9549761;connectomeDB2020:12007534;connectomeDB2020:7559383;connectomeDB2020:7592910;connectomeDB2020:8632753;connectomeDB2020:9001438;connectomeDB2020:9549761;scConnect:7592910;scConnect:8632753], NPY4R [CellTalkDB:7592911;Cellinker:7493937;Cellinker:7592911;Guide2Pharma:7493937;HPMR:7592911;HPRD:7493937;LRdb:749;LRdb:7592911;SIGNOR:7592911;connectomeDB2020:7493937;connectomeDB2020:7592911;scConnect:7493937], NPY5R [CellTalkDB:8824284;Cellinker:12007534;Cellinker:12417094;Cellinker:8824284;Guide2Pharma:8824284;HPMR:12417094;HPRD:12007534;LRdb:12007534;LRdb:12417094;LRdb:8824284;SIGNOR:11825645;connectomeDB2020:12007534;connectomeDB2020:12417094;connectomeDB2020:8824284;scConnect:8824284], FAP [Baccin2019:26621486;CellTalkDB:21314817;Cellinker:21314817;LRdb:21314817;Ramilowski2015:21314817;connectomeDB2020:21314817;talklr:21314817], ADRA2A [CellTalkDB:32196115], MC4R [Baccin2019:12015205;Cellinker:12015205;HPRD:12015205;LRdb:12015205], MTNR1A [CellTalkDB:32196115], NPFFR2 [Baccin2019:12609745;CellTalkDB:11325787;Cellinker:12609745;HPRD:12609745;LRdb:12609745;connectomeDB2020:12609745], GRM7 [CellTalkDB:32196115], DPP4 [CellTalkDB:30759373;Cellinker:21314817], NPY6R [NA], GPR83 [Cellinker:17240481], ADRB1 [Cellinker:8190350], ADRB2 [Cellinker:8190350]
O00585	CCL21	18	ligand	extracellular, intracellular, ligand, secreted	O00590, P08913, P13611, P32248, P46092, P48039, P49682, Q14831, Q9NPB9	ACKR2, ACKR4, ADRA2A, CCR10, CCR7, CXCR3, GRM7, MTNR1A, VCAN	ACKR4 [CellPhoneDB:24218476;CellTalkDB:23341447;Cellinker:10706668;Cellinker:23341447;Guide2Pharma:23341447;HPRD:10706668;ICELLNET:22633458;InnateDB:10706668;LRdb:11;LRdb:23341447;connectomeDB2020:10706668;connectomeDB2020:23341447;scConnect:23341447], CCR7 [Baccin2019:11970971;Baccin2019:9507024;Baccin2019:9585422;CellPhoneDB:24218476;CellTalkDB:10699158;Cellinker:11970971;Cellinker:9507024;Cellinker:9585422;DIP:10488147;DIP:9507024;Guide2Pharma:9507024;HPRD:9507024;HPRD:9585422;ICELLNET:22633458;InnateDB:22221265;InnateDB:9507024;LRdb:10699158;SIGNOR:11970971;connectomeDB2020:11970971;connectomeDB2020:9507024;connectomeDB2020:9585422;scConnect:9507024], ADRA2A [CellTalkDB:32196115], MTNR1A [CellTalkDB:32196115], CXCR3 [Baccin2019:26888559;CellTalkDB:11907075;Cellinker:26888559;Ramilowski2015:11907075;connectomeDB2020:11907075;talklr:11907075], GRM7 [CellTalkDB:32196115], ACKR2 [CellTalkDB:10706668;HPRD:10706668;LRdb:10706668;connectomeDB2020:10706668], CCR10 [connectomeDB2020:10706668], VCAN [Cellinker:16045811;HPRD:11083865]
Q5T4F7	SFRP5	1	ligand	intracellular, ligand, ligand_regulator, secreted	Q99972	MYOC	MYOC [Cellinker:19188438]
P01185	AVP	15	ligand	extracellular, intracellular, ligand, secreted	O60895, O60896, P01130, P07550, P13945, P16473, P30518, P30559, P32241, P37288, P41586, P47901, P98164, Q03431, Q99678, Q9NQS5	ADCYAP1R1, ADRB2, ADRB3, AVPR1A, AVPR1B, AVPR2, GPR20, GPR84, LDLR, LRP2, OXTR, PTH1R, RAMP2, RAMP3, TSHR, VIPR1	OXTR [Baccin2019:10519430;Baccin2019:11337500;Baccin2019:12446593;Baccin2019:15084136;Baccin2019:16158071;Baccin2019:7475979;Baccin2019:7774575;Baccin2019:7921229;Baccin2019:8955347;CellTalkDB:12446593;Guide2Pharma:10519430;Guide2Pharma:11337500;Guide2Pharma:12446593;Guide2Pharma:15084136;Guide2Pharma:16158071;Guide2Pharma:7475979;Guide2Pharma:7774575;Guide2Pharma:8955347;HPRD:7921229;LRdb:10519430;LRdb:11337500;LRdb:12446593;LRdb:15084136;LRdb:16158071;LRdb:7475979;LRdb:7774575;LRdb:7921229;LRdb:8955347;connectomeDB2020:10519430;connectomeDB2020:11337500;connectomeDB2020:12446593;connectomeDB2020:15084136;connectomeDB2020:16158071;connectomeDB2020:7475979;connectomeDB2020:7774575;connectomeDB2020:7921229;connectomeDB2020:8955347;scConnect:10519430;scConnect:11337500;scConnect:12446593;scConnect:15084136;scConnect:16158071;scConnect:7475979;scConnect:7774575;scConnect:8955347], AVPR1A [Baccin2019:10519430;Baccin2019:10780976;Baccin2019:10866830;Baccin2019:12446593;Baccin2019:15084136;Baccin2019:1560825;Baccin2019:8106369;Baccin2019:9264324;Baccin2019:9322919;Baccin2019:9334232;Baccin2019:9459574;Baccin2019:9864265;Baccin2019:9884074;CellTalkDB:1560825;Cellinker:10519430;Cellinker:10780976;Cellinker:10866830;Cellinker:12446593;Cellinker:15084136;Cellinker:1560825;Cellinker:8106369;Cellinker:9264324;Cellinker:9322919;Cellinker:9334232;Cellinker:9459574;Cellinker:9864265;Cellinker:9884074;Guide2Pharma:10519430;Guide2Pharma:10780976;Guide2Pharma:10866830;Guide2Pharma:12446593;Guide2Pharma:15084136;Guide2Pharma:8106369;Guide2Pharma:9264324;Guide2Pharma:9322919;Guide2Pharma:9334232;Guide2Pharma:9459574;Guide2Pharma:9864265;Guide2Pharma:9884074;HPMR:1560825;HPRD:8106369;LRdb:10519430;LRdb:10780976;LRdb:10866830;LRdb:12446593;LRdb:15084136;LRdb:1560825;LRdb:8106369;LRdb:9264324;LRdb:9322919;LRdb:9334232;LRdb:9459574;LRdb:9864265;LRdb:9884074;connectomeDB2020:10519430;connectomeDB2020:10780976;connectomeDB2020:10866830;connectomeDB2020:12446593;connectomeDB2020:15084136;connectomeDB2020:1560825;connectomeDB2020:8106369;connectomeDB2020:9264324;connectomeDB2020:9322919;connectomeDB2020:9334232;connectomeDB2020:9459574;connectomeDB2020:9864265;connectomeDB2020:9884074;scConnect:10519430;scConnect:10780976;scConnect:10866830;scConnect:12446593;scConnect:15084136;scConnect:8106369;scConnect:9264324;scConnect:9322919;scConnect:9334232;scConnect:9459574;scConnect:9864265;scConnect:9884074], AVPR1B [Baccin2019:10519430;Baccin2019:10780976;Baccin2019:12446593;Baccin2019:15084136;Baccin2019:16158071;Baccin2019:7929452;Baccin2019:9264324;Baccin2019:9322919;Baccin2019:9459574;Baccin2019:9864265;Baccin2019:9884074;CellTalkDB:7929452;Cellinker:10519430;Cellinker:10780976;Cellinker:12446593;Cellinker:15084136;Cellinker:16158071;Cellinker:7929452;Cellinker:9264324;Cellinker:9322919;Cellinker:9459574;Cellinker:9864265;Cellinker:9884074;Guide2Pharma:10519430;Guide2Pharma:10780976;Guide2Pharma:12446593;Guide2Pharma:15084136;Guide2Pharma:16158071;Guide2Pharma:9264324;Guide2Pharma:9322919;Guide2Pharma:9459574;Guide2Pharma:9864265;Guide2Pharma:9884074;HPRD:7929452;LRdb:10519430;LRdb:10780976;LRdb:12446593;LRdb:15084136;LRdb:16158071;LRdb:7929452;LRdb:9264324;LRdb:9322919;LRdb:9459574;LRdb:9864265;LRdb:9884074;connectomeDB2020:10519430;connectomeDB2020:10780976;connectomeDB2020:12446593;connectomeDB2020:15084136;connectomeDB2020:16158071;connectomeDB2020:7929452;connectomeDB2020:9264324;connectomeDB2020:9322919;connectomeDB2020:9459574;connectomeDB2020:9864265;connectomeDB2020:9884074;scConnect:10519430;scConnect:10780976;scConnect:12446593;scConnect:15084136;scConnect:16158071;scConnect:9264324;scConnect:9322919;scConnect:9459574;scConnect:9864265;scConnect:9884074], AVPR2 [Baccin2019:10519430;Baccin2019:10780976;Baccin2019:11012895;Baccin2019:11857925;Baccin2019:12446593;Baccin2019:15084136;Baccin2019:7774575;Baccin2019:9264324;Baccin2019:9322919;Baccin2019:9459574;Baccin2019:9864265;Baccin2019:9884074;CellTalkDB:9884074;Cellinker:10519430;Cellinker:10780976;Cellinker:11012895;Cellinker:11857925;Cellinker:12446593;Cellinker:15084136;Cellinker:7774575;Cellinker:9264324;Cellinker:9322919;Cellinker:9459574;Cellinker:9864265;Cellinker:9884074;Guide2Pharma:10519430;Guide2Pharma:10780976;Guide2Pharma:11012895;Guide2Pharma:12446593;Guide2Pharma:15084136;Guide2Pharma:7774575;Guide2Pharma:9264324;Guide2Pharma:9322919;Guide2Pharma:9459574;Guide2Pharma:9864265;Guide2Pharma:9884074;HPRD:11857925;LRdb:10519430;LRdb:10780976;LRdb:11012895;LRdb:11857925;LRdb:12446593;LRdb:15084136;LRdb:7774575;LRdb:9264324;LRdb:9322919;LRdb:9459574;LRdb:9864265;LRdb:9884074;SIGNOR:1560825;connectomeDB2020:10519430;connectomeDB2020:10780976;connectomeDB2020:11012895;connectomeDB2020:11857925;connectomeDB2020:12446593;connectomeDB2020:15084136;connectomeDB2020:7774575;connectomeDB2020:9264324;connectomeDB2020:9322919;connectomeDB2020:9459574;connectomeDB2020:9864265;connectomeDB2020:9884074;scConnect:10519430;scConnect:10780976;scConnect:11012895;scConnect:12446593;scConnect:15084136;scConnect:7774575;scConnect:9264324;scConnect:9322919;scConnect:9459574;scConnect:9864265;scConnect:9884074], ADCYAP1R1 [CellTalkDB:32196115], LDLR [CellTalkDB:32196115], GPR84 [CellTalkDB:32196115], TSHR [CellTalkDB:32196115], RAMP3 [CellTalkDB:32196115], RAMP2 [CellTalkDB:32196115], LRP2 [CellTalkDB:32196115], ADRB2 [CellTalkDB:32196115], PTH1R [CellTalkDB:32196115], VIPR1 [CellTalkDB:32196115], ADRB3 [CellTalkDB:32196115], GPR20 [CellTalkDB:32196115]
P22301	IL10	21	ligand	extracellular, ligand, secreted	P19838, P26842, P32970, Q08334, Q13651, Q8IU57, Q9P1W8	CD27, CD70, IFNLR1, IL10RA, IL10RA_IL10RB, IL10RB, NFKB1, SIRPG	IL10RA [Baccin2019:10231374;Baccin2019:11485736;Baccin2019:11717514;Baccin2019:12974481;Baccin2019:7759550;Baccin2019:8248239;Baccin2019:8897595;BioGRID:10231374;BioGRID:11485736;BioGRID:11717514;BioGRID:7759550;BioGRID:8248239;CellTalkDB:12974481;DIP:15837194;DIP:20462497;DIP:8120391;HPRD:10231374;HPRD:11485736;HPRD:11717514;HPRD:7759550;HPRD:8248239;HPRD:8897595;InnateDB:10788470;InnateDB:11717514;InnateDB:9568901;IntAct:11485736;IntAct:12513909;IntAct:15837194;IntAct:20462497;LRdb:10231374;LRdb:11485736;LRdb:11717514;LRdb:12974481;LRdb:7759550;LRdb:8248239;LRdb:8897595;Lit-BM-17:10231374;Lit-BM-17:11485736;Lit-BM-17:11717514;Lit-BM-17:12513909;Lit-BM-17:15837194;Lit-BM-17:8120391;SIGNOR:10347215;SIGNOR:26260587;SPIKE:11591769;SignaLink3:17208301;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8248239;connectomeDB2020:10231374;connectomeDB2020:11485736;connectomeDB2020:11717514;connectomeDB2020:12974481;connectomeDB2020:7759550;connectomeDB2020:8248239;connectomeDB2020:8897595;scConnect:19161426], NFKB1 [SPIKE:12773629], IL10RB [CellTalkDB:12974481;DIP:20462497;DIP:9312047;HPRD:11485736;HPRD:9312047;LRdb:11485736;LRdb:12974481;LRdb:9312047;Lit-BM-17:12513909;Lit-BM-17:9312047;SIGNOR:10347215;SIGNOR:11035029;SignaLink3:11485736;SignaLink3:17208301;SignaLink3:23331499;SignaLink3:9312047;connectomeDB2020:11485736;connectomeDB2020:12974481;connectomeDB2020:9312047], SIRPG [NA], CD27 [Cellinker:9767422], CD70 [Cellinker:9767422], IFNLR1 [Cellinker:27133025]
Q6UXH0	ANGPTL8	3	ligand	intracellular, ligand, secreted	NA	NA	NA
O76093	FGF18	18	ligand	extracellular, intracellular, ligand, secreted	P11362, P21802, P22455, P22607	FGFR1, FGFR2, FGFR3, FGFR4	FGFR2 [Baccin2019:10751172;CellTalkDB:16597617;Cellinker:10751172;Cellinker:25772309;HPRD:10751172;LRdb:16597617;SIGNOR:8663044;SignaLink3:23331499;SignaLink3:8663044;connectomeDB2020:10751172], FGFR4 [Baccin2019:10751172;CellTalkDB:16597617;Cellinker:10751172;Cellinker:25772309;HPRD:10751172;LRdb:16597617;connectomeDB2020:10751172], FGFR1 [Baccin2019:10751172;CellTalkDB:16597617;Cellinker:25772309;HPRD:10751172;LRdb:16597617;connectomeDB2020:10751172], FGFR3 [Baccin2019:1578147310751170;CellTalkDB:16597617;Cellinker:10751172;Cellinker:15781473;Cellinker:16597617;Cellinker:25772309;HPRD:10751172;LRdb:16597617;connectomeDB2020:10751172;connectomeDB2020:15781473]
P02656	APOC3	2	ligand	extracellular, intracellular, ligand, secreted	O60603, P01130, P34741, P98164, Q07954	LDLR, LRP1, LRP2, SDC2, TLR2	LRP2 [CellTalkDB:32196115], LDLR [CellTalkDB:27400128], LRP1 [CellTalkDB:27400128], SDC2 [CellTalkDB:27400128], TLR2 [CellTalkDB:32196115]
